mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
flush,miss,272,2423,12981,15404,69,1
flush,hit,272,259,507,766,0,1
flush,miss,273,2477,9946,12423,51,1
flush,hit,273,249,516,765,0,1
flush,miss,274,2300,9469,11769,48,1
flush,hit,274,254,523,777,0,1
flush,miss,275,2800,12324,15124,42,1
flush,hit,275,327,785,1112,0,1
flush,miss,276,2399,10693,13092,55,1
flush,hit,276,248,549,797,0,1
flush,miss,277,2458,12112,14570,64,1
flush,hit,277,258,554,812,0,1
flush,miss,278,2219,11753,13972,62,1
flush,hit,278,254,542,796,0,1
flush,miss,279,2527,10592,13119,55,1
flush,hit,279,250,519,769,0,1
flush,miss,280,2312,10726,13038,56,1
flush,hit,280,316,753,1069,0,1
flush,miss,281,2743,10669,13412,55,1
flush,hit,281,287,746,1033,0,1
flush,miss,282,2280,11511,13791,60,1
flush,hit,282,259,537,796,0,1
flush,miss,283,2354,11808,14162,62,1
flush,hit,283,262,537,799,0,1
flush,miss,284,2165,10346,12511,53,1
flush,hit,284,258,525,783,0,1
flush,miss,285,2461,10148,12609,52,1
flush,hit,285,270,518,788,0,1
flush,miss,286,2337,12670,15007,42,1
flush,hit,286,317,733,1050,0,1
flush,miss,287,2850,11303,14153,59,1
flush,hit,287,331,693,1024,0,1
flush,miss,288,2349,10865,13214,56,1
flush,hit,288,252,547,799,0,1
flush,miss,289,2364,10950,13314,57,1
flush,hit,289,259,538,797,0,1
flush,miss,290,2299,10975,13274,57,1
flush,hit,290,261,520,781,0,1
flush,miss,291,2507,15851,18358,51,1
flush,hit,291,255,529,784,0,1
flush,miss,292,2496,13981,16477,51,1
flush,hit,292,278,580,858,0,1
flush,miss,293,2517,8839,11356,44,1
flush,hit,293,253,528,781,0,1
flush,miss,294,2334,12101,14435,63,1
flush,hit,294,261,533,794,0,1
flush,miss,295,2496,10837,13333,56,1
flush,hit,295,252,530,782,0,1
flush,miss,296,2302,10719,13021,56,1
flush,hit,296,248,523,771,0,1
flush,miss,297,2810,14463,17273,47,1
flush,hit,297,351,794,1145,0,1
flush,miss,298,2486,10670,13156,55,1
flush,hit,298,255,552,807,0,1
flush,miss,299,2521,13139,15660,70,1
flush,hit,299,261,522,783,0,1
flush,miss,300,6454,8287,14741,40,1
flush,hit,300,256,524,780,0,1
flush,miss,301,2468,9450,11918,48,1
flush,hit,301,275,515,790,0,1
flush,miss,302,2336,10101,12437,52,1
flush,hit,302,321,787,1108,0,1
flush,miss,303,2867,10659,13526,55,1
flush,hit,303,305,783,1088,0,1
flush,miss,304,2343,11214,13557,58,1
flush,hit,304,259,532,791,0,1
flush,miss,305,2327,11750,14077,62,1
flush,hit,305,247,539,786,0,1
flush,miss,306,2295,10320,12615,53,1
flush,hit,306,255,576,831,0,1
flush,miss,307,2650,24061,26711,134,1
flush,hit,307,257,638,895,0,1
flush,miss,308,2819,27630,30449,119,1
flush,hit,308,382,930,1312,0,1
flush,miss,309,2699,12910,15609,68,1
flush,hit,309,303,607,910,0,1
flush,miss,310,2343,11532,13875,60,1
flush,hit,310,255,519,774,0,1
flush,miss,311,2519,11456,13975,60,1
flush,hit,311,257,520,777,0,1
flush,miss,312,2391,10448,12839,54,1
flush,hit,312,244,528,772,0,1
flush,miss,313,2513,12633,15146,40,1
flush,hit,313,242,533,775,0,1
flush,miss,314,2492,12151,14643,42,1
flush,hit,314,258,549,807,0,1
flush,miss,315,2451,11149,13600,58,1
flush,hit,315,240,549,789,0,1
flush,miss,316,2342,11378,13720,59,1
flush,hit,316,251,533,784,0,1
flush,miss,317,3183,15080,18263,81,1
flush,hit,317,342,705,1047,0,1
flush,miss,318,2391,11520,13911,60,1
flush,hit,318,261,544,805,0,1
flush,miss,319,2858,14597,17455,47,1
flush,hit,319,314,834,1148,0,1
flush,miss,320,2548,11362,13910,59,1
flush,hit,320,269,566,835,0,1
flush,miss,321,2496,11643,14139,61,1
flush,hit,321,254,538,792,0,1
flush,miss,322,2319,11523,13842,60,1
flush,hit,322,256,525,781,0,1
flush,miss,323,4124,11336,15460,59,1
flush,hit,323,257,526,783,0,1
flush,miss,324,2357,11090,13447,58,1
flush,hit,324,331,855,1186,0,1
flush,miss,325,2878,11062,13940,57,1
flush,hit,325,300,838,1138,0,1
flush,miss,326,2316,11517,13833,60,1
flush,hit,326,259,551,810,0,1
flush,miss,327,2506,10489,12995,54,1
flush,hit,327,247,862,1109,0,1
flush,miss,328,2371,10471,12842,54,1
flush,hit,328,269,538,807,0,1
flush,miss,329,2509,11266,13775,23,1
flush,hit,329,250,540,790,0,1
flush,miss,330,2574,18067,20641,44,1
flush,hit,330,386,814,1200,0,1
flush,miss,331,2584,11316,13900,59,1
flush,hit,331,270,608,878,0,1
flush,miss,332,2323,11226,13549,58,1
flush,hit,332,244,547,791,0,1
flush,miss,333,2494,11069,13563,58,1
flush,hit,333,255,528,783,0,1
flush,miss,334,2334,11151,13485,58,1
flush,hit,334,255,524,779,0,1
flush,miss,335,2523,15817,18340,56,1
flush,hit,335,245,541,786,0,1
flush,miss,336,2505,13528,16033,50,1
flush,hit,336,291,562,853,0,1
flush,miss,337,2451,11090,13541,58,1
flush,hit,337,240,532,772,0,1
flush,miss,338,2326,11480,13806,60,1
flush,hit,338,254,521,775,0,1
flush,miss,339,2517,10981,13498,57,1
flush,hit,339,250,527,777,0,1
flush,miss,340,2326,11017,13343,57,1
flush,hit,340,250,517,767,0,1
flush,miss,341,2805,12384,15189,41,1
flush,hit,341,330,780,1110,0,1
flush,miss,342,2442,11198,13640,58,1
flush,hit,342,258,542,800,0,1
flush,miss,343,2499,11059,13558,58,1
flush,hit,343,256,550,806,0,1
flush,miss,344,2288,10970,13258,57,1
flush,hit,344,251,518,769,0,1
flush,miss,345,2473,10894,13367,57,1
flush,hit,345,249,509,758,0,1
flush,miss,346,2324,10901,13225,57,1
flush,hit,346,313,753,1066,0,1
flush,miss,347,3186,31711,34897,177,1
flush,hit,347,313,775,1088,0,1
flush,miss,348,2429,11822,14251,62,1
flush,hit,348,257,602,859,0,1
flush,miss,349,2458,10569,13027,54,1
flush,hit,349,258,560,818,0,1
