mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
dontcache,hit,284,259,528,787,0,1
dontcache,miss,285,2429,12091,14520,66,1
dontcache,hit,285,257,523,780,0,1
dontcache,miss,286,2306,13995,16301,78,1
dontcache,hit,286,260,526,786,0,1
dontcache,miss,287,2690,12456,15146,63,1
dontcache,hit,287,260,531,791,0,1
dontcache,miss,288,2281,11737,14018,64,1
dontcache,hit,288,266,527,793,0,1
dontcache,miss,289,2453,10779,13232,58,1
dontcache,hit,289,257,525,782,0,1
dontcache,miss,290,2271,14082,16353,78,1
dontcache,hit,290,261,879,1140,0,1
dontcache,miss,291,3896,11323,15219,38,1
dontcache,hit,291,413,672,1085,0,1
dontcache,miss,292,3372,11706,15078,63,1
dontcache,hit,292,261,736,997,0,1
dontcache,miss,293,2797,12983,15780,71,1
dontcache,hit,293,328,672,1000,0,1
dontcache,miss,294,2254,13468,15722,74,1
dontcache,hit,294,260,574,834,0,1
dontcache,miss,295,2402,14494,16896,80,1
dontcache,hit,295,254,556,810,0,1
dontcache,miss,296,2173,11345,13518,61,1
dontcache,hit,296,250,720,970,0,1
dontcache,miss,297,2448,10981,13429,58,1
dontcache,hit,297,250,559,809,0,1
dontcache,miss,298,2448,11786,14234,64,1
dontcache,hit,298,259,1583,1842,0,1
dontcache,miss,299,2744,14762,17506,82,1
dontcache,hit,299,252,546,798,0,1
dontcache,miss,300,2180,11534,13714,61,1
dontcache,hit,300,250,544,794,0,1
dontcache,miss,301,2381,11248,13629,61,1
dontcache,hit,301,250,532,782,0,1
dontcache,miss,302,2310,11422,13732,62,1
dontcache,hit,302,254,1275,1529,0,1
dontcache,miss,303,2921,11825,14746,64,1
dontcache,hit,303,250,543,793,0,1
dontcache,miss,304,2664,10791,13455,13,1
dontcache,hit,304,259,597,856,0,1
dontcache,miss,305,2506,10942,13448,59,1
dontcache,hit,305,255,537,792,0,1
dontcache,miss,306,2327,10794,13121,58,1
dontcache,hit,306,342,554,896,0,1
dontcache,miss,307,2472,10653,13125,57,1
dontcache,hit,307,262,559,821,0,1
dontcache,miss,308,2292,10933,13225,59,1
dontcache,hit,308,259,837,1096,0,1
dontcache,miss,309,2446,10451,12897,56,1
dontcache,hit,309,250,530,780,0,1
dontcache,miss,310,2305,10629,12934,57,1
dontcache,hit,310,252,517,769,0,1
dontcache,miss,311,2509,9333,11842,49,1
dontcache,hit,311,252,536,788,0,1
dontcache,miss,312,2319,10944,13263,59,1
dontcache,hit,312,261,524,785,0,1
dontcache,miss,313,2442,10912,13354,59,1
dontcache,hit,313,252,618,870,0,1
dontcache,miss,314,2307,10836,13143,58,1
dontcache,hit,314,266,1032,1298,0,1
dontcache,miss,315,3016,10868,13884,58,1
dontcache,hit,315,261,1491,1752,0,1
dontcache,miss,316,2431,11752,14183,64,1
dontcache,hit,316,253,525,778,0,1
dontcache,miss,317,2448,12439,14887,68,1
