mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,800,167,0,0,390980173364,390980176820,390982077569,390982874580,390983323111,390981046040,390981055191,0,0,0,0,0
dontcache,7.2.0-flushmon,800,168,1,1,390985797971,390985801864,390987799991,390988573627,390988829624,390986786197,390986804987,0,0,0,0,0
dontcache,7.2.0-flushmon,800,169,1,1,390991037540,390991039123,390993108090,390993815238,390993900419,390992041954,390992045016,0,0,0,0,0
dontcache,7.2.0-flushmon,800,170,1,1,390996287975,390996293782,390998217412,390999028317,390999127217,390997217190,390997236090,0,0,0,0,0
dontcache,7.2.0-flushmon,800,171,0,0,391001491313,391001497768,391003469497,391004247259,391004692286,391002472161,391002492988,0,0,0,0,0
dontcache,7.2.0-flushmon,800,172,1,1,391007214099,391007222103,391009051640,391009953813,391010046986,391008248294,391008273112,0,0,0,0,0
dontcache,7.2.0-flushmon,800,173,1,1,391012610924,391012617718,391014605734,391015444124,391015542975,391013611128,391013633148,0,0,0,0,0
dontcache,7.2.0-flushmon,800,174,0,0,391017858193,391017861896,391019866821,391020664826,391021291875,391018851952,391018873290,0,0,0,0,0
dontcache,7.2.0-flushmon,800,175,0,0,391023865284,391023869499,391025777933,391026564464,391027035456,391024757083,391024767466,0,0,0,0,0
dontcache,7.2.0-flushmon,800,176,1,1,391029770822,391029775786,391031674592,391032444493,391032522789,391030647693,391030660076,0,0,0,0,0
dontcache,7.2.0-flushmon,800,177,1,1,391034917303,391034921332,391036837255,391037708411,391037780376,391035812152,391035823809,0,0,0,0,0
dontcache,7.2.0-flushmon,800,178,0,0,391040083861,391040085797,391042082288,391042874154,391043422444,391041187964,391041201343,0,0,0,0,0
dontcache,7.2.0-flushmon,800,179,0,0,391045803005,391045806979,391047887349,391048598022,391049129065,391046803943,391046819646,0,0,0,0,0
dontcache,7.2.0-flushmon,800,180,1,1,391051560392,391051564779,391053555031,391054410600,391054560325,391052543917,391052561693,0,0,0,0,0
dontcache,7.2.0-flushmon,800,181,1,1,391057024994,391057031807,391058877952,391059845766,391059908793,391057843181,391057857558,0,0,0,0,0
dontcache,7.2.0-flushmon,800,182,1,1,391062340526,391062344556,391064202250,391065026709,391065117242,391063204396,391063215075,0,0,0,0,0
dontcache,7.2.0-flushmon,800,183,0,0,391067570520,391067574641,391069424550,391070228296,391070679781,391068450256,391068461746,0,0,0,0,0
dontcache,7.2.0-flushmon,800,184,1,1,391073187287,391073191922,391075081128,391075943169,391076028170,391074179224,391074194545,0,0,0,0,0
dontcache,7.2.0-flushmon,800,185,0,0,391078612969,391078616552,391080507663,391081279827,391081687989,391079483975,391079495116,0,0,0,0,0
dontcache,7.2.0-flushmon,800,186,1,1,391084169460,391084173028,391086092243,391087052875,391087450814,391085188768,391085198458,0,0,0,0,0
dontcache,7.2.0-flushmon,800,187,0,0,391089860427,391089865608,391091835020,391092620339,391093168579,391090970573,391090983949,0,0,0,0,0
dontcache,7.2.0-flushmon,800,188,0,0,391095671960,391095676113,391097676677,391098462419,391098886787,391096665536,391096675515,0,0,0,0,0
dontcache,7.2.0-flushmon,800,189,0,0,391101268677,391101269675,391103276936,391104046675,391104279448,391102270989,391102273263,0,0,0,0,0
dontcache,7.2.0-flushmon,800,190,1,1,391106727369,391106731547,391108715308,391109377687,391109502220,391107601356,391107612814,0,0,0,0,0
dontcache,7.2.0-flushmon,800,191,1,1,391111845561,391111849257,391113747340,391114553280,391114718880,391112746905,391112755993,0,0,0,0,0
dontcache,7.2.0-flushmon,800,192,1,1,391116962894,391116963739,391118946632,391119743538,391119798469,391117973616,391117980633,0,0,0,0,0
